Query,Avg (last 4 runs),Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Created At,Test run no.,malloc 0,malloc 1,malloc 2,malloc 3,malloc 4
1,0.012691843749053078,0.011858833997393958,0.011870292000821792,0.013986707999720238,0.01232620800146833,0.01258416699420195,2025-02-14 16:11:46.106854,1,371036.0,371036.0,371036.0,371036.0,371036.0
2,0.025536447752529057,0.07569362499634735,0.02530870800546836,0.025594625010853633,0.026349499996285886,0.024892957997508347,2025-02-14 16:11:46.106854,1,280476.0,280508.0,280476.0,280476.0,280476.0
3,0.008188020747184055,0.007930332998512313,0.008588874989072792,0.00802612499683164,0.008507582999300212,0.007629500003531575,2025-02-14 16:11:46.106854,1,115900.0,115932.0,115900.0,115900.0,115900.0
4,0.01178223950046231,0.01099308299308177,0.011340208002366126,0.01177987499977462,0.011779332999140024,0.012229542000568472,2025-02-14 16:11:46.106854,1,74514.0,74514.0,74514.0,74514.0,74514.0
5,0.012659916752454592,0.012482249992899597,0.013546917005442083,0.012610874997335486,0.012280333001399413,0.012201542005641386,2025-02-14 16:11:46.106854,1,74364.0,74364.0,74364.0,74364.0,74364.0
6,0.0018871559987019282,0.0019238750101067126,0.0018372500053374097,0.0017738329916028306,0.002095999996527098,0.0018415410013403744,2025-02-14 16:11:46.106854,1,37308.0,37308.0,37308.0,37308.0,37308.0
7,0.0078269480036397,0.008292041005915962,0.007843832994694822,0.00770691700745374,0.007673625004827045,0.008083417007583193,2025-02-14 16:11:46.106854,1,148508.0,148508.0,148508.0,148508.0,148508.0
8,0.01706450000347104,0.019028915994567797,0.017939083991223015,0.01681883301353082,0.017006875001243316,0.016493208007887006,2025-02-14 16:11:46.106854,1,74364.0,74364.0,74364.0,74364.0,74364.0
9,0.0234152812481625,0.025103042004047893,0.023152541005401872,0.023495333996834233,0.023965624990523793,0.023047624999890104,2025-02-14 16:11:46.106854,1,114239.0,114239.0,114239.0,114239.0,114239.0
10,0.011375302256055875,0.01220245799049735,0.012092750010197051,0.010989833011990413,0.011064292004448362,0.011354333997587673,2025-02-14 16:11:46.106854,1,287138.0,287170.0,287138.0,287138.0,287138.0
11,0.016405677004513564,0.01725345800514333,0.016404207999585196,0.01618891600810457,0.01659545900474768,0.016434125005616806,2025-02-14 16:11:46.106854,1,57980.0,57980.0,57980.0,57980.0,57980.0
12,0.0065156665004906245,0.006686916996841319,0.00671320800029207,0.006321916007436812,0.006585416995221749,0.006442124999011867,2025-02-14 16:11:46.106854,1,111420.0,111420.0,111420.0,111420.0,111420.0
13,0.006152208497951506,0.006185207996168174,0.005825832995469682,0.006548834004206583,0.006012166995787993,0.006221999996341765,2025-02-14 16:11:46.106854,1,74364.0,74364.0,74364.0,74364.0,74364.0
14,0.0031080519984243438,0.003002124998602085,0.003284582999185659,0.0029580829868791625,0.003030749998288229,0.0031587920093443245,2025-02-14 16:11:46.106854,1,37308.0,37308.0,37308.0,37308.0,37308.0
15,0.0038533129991265014,0.003740375002962537,0.0038836250023450702,0.0036837090010521933,0.003674334002425894,0.004171583990682848,2025-02-14 16:11:46.106854,1,169289.0,169289.0,169289.0,169289.0,169289.0
16,0.014283635504398262,0.015239249987644143,0.014437916994211264,0.01448483401327394,0.013894000003347173,0.014317791006760672,2025-02-14 16:11:46.106854,1,135786.0,135786.0,135786.0,135786.0,135786.0
17,0.008841510250931606,0.00893625000026077,0.00832950000767596,0.009222291002515703,0.008935707999626175,0.008878541993908584,2025-02-14 16:11:46.106854,1,37308.0,37308.0,37308.0,37308.0,37308.0
18,0.010757728996395599,0.010963916007312946,0.011878999997861683,0.010673458004021086,0.010910582990618423,0.009567874993081205,2025-02-14 16:11:46.106854,1,190076.0,190076.0,190076.0,190076.0,190076.0
19,0.007713645751209697,0.008737249998375773,0.00794129200221505,0.007900124997831881,0.007597166011692025,0.007415999993099831,2025-02-14 16:11:46.106854,1,37308.0,37308.0,37308.0,37308.0,37308.0
20,0.01797694775086711,0.018362957998760976,0.01856062500155531,0.017750540995621122,0.017718625007546507,0.01787799999874551,2025-02-14 16:11:46.106854,1,74364.0,74364.0,74364.0,74364.0,74364.0
21,0.01628782299667364,0.01712004200089723,0.01635629200609401,0.01602420899143908,0.01594108299468644,0.01682970799447503,2025-02-14 16:11:46.106854,1,74364.0,74364.0,74364.0,74364.0,74364.0
22,0.011216687500564149,0.012024208001093939,0.0112954170035664,0.011149832993396558,0.011328417007462122,0.011093082997831516,2025-02-14 16:11:46.106854,1,111624.0,111624.0,111624.0,111624.0,111624.0
