Query,Created At,Test run no.,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,malloc 0,malloc 1,malloc 2,malloc 3,malloc 4,Avg (last 4 runs)
1,2025-03-04 14:53:15.488909,1,0.03471420900314115,0.0211974999983795,0.02041425000061281,0.0209582079842221,0.019006499991519377,371806,371036,371036,371060,371060,0.020394114493683446
2,2025-03-04 14:53:15.488909,1,0.036796625005081296,0.03410204200190492,0.03312862501479685,0.031164667016128078,0.03162029100349173,280476,280508,280476,280476,280476,0.032503906259080395
3,2025-03-04 14:53:15.488909,1,0.015461208997294307,0.015158791997237131,0.014950375014450401,0.014417875005165115,0.014749541995115578,115900,115932,115900,115900,115900,0.014819146002992056
4,2025-03-04 14:53:15.488909,1,0.01522554099210538,0.014041959017049521,0.014691500022308901,0.014125790999969468,0.013624000013805926,74514,74514,74514,74514,74514,0.014120812513283454
5,2025-03-04 14:53:15.488909,1,0.026104416989255697,0.026974832988344133,0.02607362499111332,0.02633537500514649,0.025839249981800094,74364,74364,74364,74364,74364,0.02630577074160101
6,2025-03-04 14:53:15.488909,1,0.0063708329980727285,0.005710124998586252,0.005601082986686379,0.005548833985812962,0.005498666985658929,37308,37308,37308,37308,37308,0.0055896772391861305
7,2025-03-04 14:53:15.488909,1,0.02484033300424926,0.024764666974078864,0.024539667007047683,0.02431758400052786,0.024702624999918044,148508,148508,148508,148508,148508,0.024581135745393112
8,2025-03-04 14:53:15.488909,1,0.030984792014351115,0.03061804102617316,0.03040770802181214,0.031264959019608796,0.03131158300675452,74364,74364,74364,74364,74364,0.030900572768587153
9,2025-03-04 14:53:15.488909,1,0.0366115840151906,0.03578858298715204,0.03575416698004119,0.036160459014354274,0.036055500007933006,114239,114239,114239,114239,114239,0.03593967724737013
10,2025-03-04 14:53:15.488909,1,0.03324012499069795,0.032892415998503566,0.03292612501536496,0.0327840409881901,0.03264341701287776,287138,287170,287138,287138,287138,0.0328114997537341
11,2025-03-04 14:53:15.488909,1,0.02355508299660869,0.022654833999695256,0.022736750019248575,0.022711124998750165,0.02278470800956711,57980,57980,57980,57980,57980,0.022721854256815277
12,2025-03-04 14:53:15.488909,1,0.016737416008254513,0.01591320798615925,0.01639245799742639,0.01583608301007189,0.015806415991391987,111420,111420,111420,111420,111420,0.01598704124626238
13,2025-03-04 14:53:15.488909,1,0.011124249984277412,0.010775167000247166,0.010288666002452374,0.010748667002189904,0.010300207999534905,74364,74364,74364,74364,74364,0.010528177001106087
14,2025-03-04 14:53:15.488909,1,0.012129042006563395,0.01147274998947978,0.011580917023820803,0.011268208007095382,0.011543500004336238,37308,37308,37308,37308,37308,0.01146634375618305
15,2025-03-04 14:53:15.488909,1,0.17863945898716338,0.16365433399914764,0.15785979200154543,0.16547491701203398,0.15997808301472105,169289,169289,169289,169289,169289,0.16174178150686203
16,2025-03-04 14:53:15.488909,1,0.01647608299390413,0.015450917009729892,0.014237416005926207,0.014408291986910626,0.014358957996591926,135786,135786,135786,135786,135786,0.014613895749789663
17,2025-03-04 14:53:15.488909,1,0.011353624984622002,0.01034808301483281,0.010092500015161932,0.009933583991369233,0.010015834006480873,37308,37308,37308,37308,37308,0.010097500256961212
18,2025-03-04 14:53:15.488909,1,0.01648316698265262,0.015175208973232657,0.01666879202821292,0.016073792008683085,0.01595041700056754,190076,190076,190076,190076,190076,0.01596705250267405
19,2025-03-04 14:53:15.488909,1,0.019023041997570544,0.018805042025633156,0.018523666978580877,0.01988120801979676,0.019159916992066428,37308,37308,37308,37308,37308,0.019092458504019305
20,2025-03-04 14:53:15.488909,1,0.03165166699909605,0.03297574998578057,0.032776208012364805,0.03165441600140184,0.03283345900126733,74364,74364,74364,74364,74364,0.032559958250203636
21,2025-03-04 14:53:15.488909,1,0.029626125004142523,0.02800808398751542,0.02923575000022538,0.029712666000705212,0.02818512500380166,74364,74364,74364,74364,74364,0.028785406248061918
22,2025-03-04 14:53:15.488909,1,0.015267667011357844,0.01535004100878723,0.016126375005114824,0.01541229200665839,0.015518958010943606,111624,111624,111624,111624,111624,0.015601916507876012
