Query,Created At,Test run no.,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,malloc 0,malloc 1,malloc 2,malloc 3,malloc 4,Avg (last 4 runs)
1,2025-03-04 14:53:15.488909,1,0.0018545830098446459,0.0018126250070054084,0.0027554589905776083,0.0017100420081987977,0.0016907909885048866,371036,371036,371036,371036,371036,0.0019922292485716753
2,2025-03-04 14:53:15.488909,1,0.03963004201068543,0.029816915979608893,0.032659416989190504,0.03429504099767655,0.02953633401193656,280476,280508,280476,280476,280476,0.03157692699460313
3,2025-03-04 14:53:15.488909,1,0.012197875010315329,0.012026000011246651,0.012999667000258341,0.011651209002593532,0.01147875000606291,115900,115932,115900,115900,115900,0.012038906505040359
4,2025-03-04 14:53:15.488909,1,0.007275042007677257,0.006826374999945983,0.006669958995189518,0.007414500025333837,0.007001958001637831,74514,74514,74514,74514,74514,0.006978198005526792
5,2025-03-04 14:53:15.488909,1,0.014588041987735778,0.015323375002481043,0.014320333022624254,0.014723542000865564,0.014802874997258186,74364,74364,74364,74364,74364,0.014792531255807262
6,2025-03-04 14:53:15.488909,1,0.0011688749946188182,0.001027915976010263,0.0010795829875860363,0.0010596249776426703,0.001014582987409085,37308,37308,37308,37308,37308,0.0010454267321620136
7,2025-03-04 14:53:15.488909,1,0.023621542000910267,0.026047374994959682,0.026698792004026473,0.024863667000317946,0.03037166700232774,148508,148508,148508,148508,148508,0.02699537525040796
8,2025-03-04 14:53:15.488909,1,0.024655749992234632,0.021555167011683807,0.02068587500252761,0.020762542000738904,0.02027608299977146,74364,74364,74364,74364,74364,0.020819916753680445
9,2025-03-04 14:53:15.488909,1,0.022053833992686123,0.023134499992011115,0.02172620900091715,0.022457290993770584,0.02204491599695757,114239,114239,114239,114239,114239,0.022340728995914105
10,2025-03-04 14:53:15.488909,1,0.028941458003828302,0.02934158401330933,0.029393083998002112,0.0292785830097273,0.029328708013053983,287138,287170,287138,287138,287138,0.02933548975852318
11,2025-03-04 14:53:15.488909,1,0.023292249999940395,0.023039666994009167,0.02231370800291188,0.022377374989446253,0.022718000021995977,57980,57980,57980,57980,57980,0.02261218750209082
12,2025-03-04 14:53:15.488909,1,0.008754959009820595,0.008943833003286272,0.008328166994033381,0.008557624998502433,0.008864458999596536,111420,111420,111420,111420,111420,0.008673520998854656
13,2025-03-04 14:53:15.488909,1,0.010345749993575737,0.011298833996988833,0.01028112499625422,0.010064041998703033,0.010993250005412847,74364,74364,74364,74364,74364,0.010659312749339733
14,2025-03-04 14:53:15.488909,1,0.007660665985895321,0.008028874988667667,0.007624332996783778,0.008628292009234428,0.00793341698590666,37308,37308,37308,37308,37308,0.008053729245148133
15,2025-03-04 14:53:15.488909,1,0.11671758300508372,0.12142608399153687,0.12359425000613555,0.11736750000272878,0.12706904200604185,169289,169289,169289,169289,169289,0.12236421900161076
16,2025-03-04 14:53:15.488909,1,0.014769791014259681,0.016444540990050882,0.017017665988532826,0.015301165985874832,0.016354417020920664,135786,135786,135786,135786,135786,0.0162794474963448
17,2025-03-04 14:53:15.488909,1,0.006684333988232538,0.006434709008317441,0.007081166986608878,0.006840416986960918,0.006994416005909443,37308,37308,37308,37308,37308,0.00683767724694917
18,2025-03-04 14:53:15.488909,1,0.011370416003046557,0.009664999990491197,0.009836332988925278,0.010184707993175834,0.010272375016938895,190076,190076,190076,190076,190076,0.009989603997382801
19,2025-03-04 14:53:15.488909,1,0.015033333009341732,0.013325250009074807,0.013617749995319173,0.014252749999286607,0.014738541009137407,37308,37308,37308,37308,37308,0.013983572753204498
20,2025-03-04 14:53:15.488909,1,0.018607708014314994,0.01770125000621192,0.016834542009746656,0.018586291000247,0.01965587501763366,74364,74364,74364,74364,74364,0.01819448950845981
21,2025-03-04 14:53:15.488909,1,0.019808750017546117,0.01989487500395626,0.020258040982298553,0.01997729198774323,0.020651833998272195,74364,74364,74364,74364,74364,0.02019551049306756
22,2025-03-04 14:53:15.488909,1,0.01588087499840185,0.016149874980328605,0.014071833022171631,0.014914458006387576,0.013596333999885246,111624,111624,111624,111624,111624,0.014683125002193265
